@relation simplified_text_classification
@attribute text string
@attribute label {positive, negative}
@data
'prosecution lawyers argued mr ebbers orchestrated series accounting tricks worldcom ordering employees hide expenses inflate revenues meet wall street earnings estimates  prosecution s star witness worldcom financial chief scott sullivan mr ebbers ordered accounting adjustments firm telling hit books', positive
'german business confidence slides german business confidence fell february knocking hopes speedy recovery europe s largest economy  economy labour minister wolfgang clement called dip february s ifo confidence figure mild decline', positive
'bbc poll economic gloom citizens majority nations surveyed bbc world service poll world economy worsening  poll found majority plurality people 13 countries believed economy downhill compared respondents countries believed improving', positive
'study ericsson interviewed 14 000 mobile phone owners ways phone  dr bjorn people camera phones ways film digital cameras', positive
'enron bosses 168m payout eighteen enron directors agreed 168m 89m settlement deal shareholder lawsuit collapse energy firm  enron s shareholders seeking damages long list big defendants including financial institutions jp morgan chase citigroup merrill lynch credit suisse boston', negative
'howard truanted play snooker conservative leader michael howard admitted play truant spend time school friends snooker hall  mr howard s fellow welshman ray reardon fellow professionals dracula won snooker world championship times left school 14 work miner', positive
'wales silent grand slam talk rhys williams wales thinking winning grand slam nations win  s thing minds moment williams second half replacement saturday s 2418 win france paris', positive
'french honour director parker british film director sir alan parker made officer order arts letters france s highest cultural honours  cited director s 2003 film life david gale kevin spacey played man death row proof veritable artistic commitment death sentence', positive
'car giant hit mercedes slump slump profitability luxury car maker mercedes prompted big drop profits parent daimlerchrysler  mercedes profits period compared unfavourably 2003 s 784m euro figure analyst expectations 374m euros', positive
'fockers fuel festive film chart comedy meet fockers topped festive box office north america setting record christmas day  meet fockers knocked week s top film lemony snicket s series unfortunate events place 12', positive
'book published week philippe sands qc member cherie blair s matrix chambers lord goldsmith warned tony blair 7 march 2003 iraq war illegal resolution sanctioning military action  short statement lord goldsmith s position presented written parliamentary answer 17 march 2003 crucial commons vote military action', positive
'housewives lift channel 4 ratings debut television hit desperate housewives helped lift channel 4 s january audience share 12 compared year  main television channels bbc1 itv1 monthly audience share decline year year comparison january s proportion remained slender 6', positive
'uk coal plunges deeper loss shares uk coal fallen mining group reported losses deepened 51  uk s biggest coal producer blamed geological problems industrial action operating flaws deep mines worsening fortunes', positive
'bp surges ahead high oil price oil giant bp announced 26 rise annual profits 16  speaking bbc s today programme tuesday lord browne profits solely high oil price', positive
